customer_name,product_id,quantity
Customer 1,32,9
Customer 2,90,4
Customer 3,17,4
Customer 4,78,9
Customer 5,67,10
Customer 6,42,6
Customer 7,17,4
Customer 8,85,2
Customer 9,54,4
Customer 10,60,6
Customer 11,79,6
Customer 12,62,2
Customer 13,69,7
Customer 14,10,6
Customer 15,53,4
Customer 16,49,7
Customer 17,36,8
Customer 18,1,1
Customer 19,78,2
Customer 20,32,9
Customer 21,83,4
Customer 22,27,4
Customer 23,11,5
Customer 24,64,7
Customer 25,16,5
Customer 26,89,4
Customer 27,46,10
Customer 28,82,3
Customer 29,74,5
Customer 30,52,2
Customer 31,20,7
Customer 32,26,5
Customer 33,5,2
Customer 34,22,5
Customer 35,48,1
Customer 36,9,10
Customer 37,10,7
Customer 38,24,9
Customer 39,2,7
Customer 40,42,6
Customer 41,40,6
Customer 42,57,6
Customer 43,25,1
Customer 44,24,1
Customer 45,6,9
Customer 46,90,5
Customer 47,65,9
Customer 48,74,8
Customer 49,20,10
Customer 50,76,9
Customer 51,86,5
Customer 52,69,7
Customer 53,66,8
Customer 54,30,9
Customer 55,34,10
Customer 56,57,2
Customer 57,81,2
Customer 58,79,1
Customer 59,60,9
Customer 60,21,9
Customer 61,28,3
Customer 62,87,3
Customer 63,55,1
Customer 64,87,9
Customer 65,12,7
Customer 66,43,6
Customer 67,51,6
Customer 68,5,1
Customer 69,52,5
Customer 70,27,7
Customer 71,81,3
Customer 72,47,10
Customer 73,66,6
Customer 74,67,2
Customer 75,15,3
Customer 76,70,4
Customer 77,94,7
Customer 78,21,6
Customer 79,50,5
Customer 80,11,9
Customer 81,8,6
Customer 82,32,1
Customer 83,6,8
Customer 84,51,10
Customer 85,84,9
Customer 86,49,10
Customer 87,95,8
Customer 88,17,7
Customer 89,12,4
Customer 90,56,5
Customer 91,81,9
Customer 92,17,7
Customer 93,86,6
Customer 94,52,9
Customer 95,65,4
Customer 96,71,3
Customer 97,54,5
Customer 98,70,2
Customer 99,61,9
Customer 100,3,1
Customer 101,94,7
Customer 102,50,1
Customer 103,5,3
Customer 104,44,9
Customer 105,97,8
Customer 106,23,7
Customer 107,95,4
Customer 108,48,7
Customer 109,70,1
Customer 110,81,3
Customer 111,67,8
Customer 112,70,10
Customer 113,96,4
Customer 114,84,10
Customer 115,41,7
Customer 116,55,6
Customer 117,8,9
Customer 118,23,6
Customer 119,37,10
Customer 120,6,2
Customer 121,53,8
Customer 122,12,5
Customer 123,76,10
Customer 124,58,2
Customer 125,14,8
Customer 126,93,2
Customer 127,35,8
Customer 128,38,6
Customer 129,58,9
Customer 130,19,6
Customer 131,18,1
Customer 132,20,9
Customer 133,24,5
Customer 134,64,1
Customer 135,50,10
