name,unit_price,category
Product 1,500.69,Home
Product 2,274.73,Electronics
Product 3,992.27,Garden
Product 4,178.10,Garden
Product 5,92.70,Electronics
Product 6,314.22,Beauty
Product 7,404.72,Home
Product 8,623.75,Home
Product 9,300.34,Clothing
Product 10,607.51,Beauty
Product 11,236.29,Food
Product 12,713.56,Home
Product 13,656.24,Sports
Product 14,980.47,Home
Product 15,162.42,Sports
Product 16,186.12,Clothing
Product 17,663.70,Home
Product 18,533.17,Home
Product 19,787.06,Garden
Product 20,428.17,Sports
Product 21,325.12,Food
Product 22,736.69,Electronics
Product 23,480.11,Books
Product 24,476.24,Home
Product 25,326.21,Tools
Product 26,172.87,Electronics
Product 27,23.33,Home
Product 28,363.34,Home
Product 29,561.67,Sports
Product 30,503.60,Books
Product 31,172.82,Home
Product 32,956.71,Tools
Product 33,378.56,Tools
Product 34,919.88,Clothing
Product 35,152.43,Beauty
Product 36,378.29,Toys
Product 37,337.83,Books
Product 38,38.43,Sports
Product 39,370.01,Beauty
Product 40,246.24,Toys
Product 41,543.44,Food
Product 42,825.38,Beauty
Product 43,27.67,Home
Product 44,741.46,Beauty
Product 45,246.45,Electronics
Product 46,357.35,Garden
Product 47,64.93,Home
Product 48,523.60,Electronics
Product 49,364.28,Sports
Product 50,136.66,Beauty
Product 51,951.62,Garden
Product 52,518.17,Tools
Product 53,545.66,Home
Product 54,751.45,Beauty
Product 55,582.66,Beauty
Product 56,393.65,Beauty
Product 57,669.12,Clothing
Product 58,826.40,Beauty
Product 59,106.99,Sports
Product 60,354.63,Toys
Product 61,97.50,Garden
Product 62,102.00,Home
Product 63,421.27,Garden
Product 64,425.46,Home
Product 65,316.64,Beauty
Product 66,870.09,Electronics
Product 67,960.05,Sports
Product 68,507.49,Home
Product 69,524.95,Tools
Product 70,808.97,Electronics
Product 71,520.62,Toys
Product 72,202.46,Home
Product 73,253.16,Clothing
Product 74,711.48,Tools
Product 75,277.75,Garden
Product 76,564.11,Tools
Product 77,638.92,Tools
Product 78,723.26,Toys
Product 79,264.36,Sports
Product 80,500.38,Beauty
Product 81,654.29,Electronics
Product 82,491.90,Food
Product 83,405.32,Sports
Product 84,115.64,Tools
Product 85,174.95,Toys
Product 86,635.75,Food
Product 87,621.34,Books
Product 88,365.46,Clothing
Product 89,329.06,Tools
Product 90,144.16,Food
Product 91,200.87,Clothing
Product 92,82.20,Food
